item_code,product_line,brand_name,suggested_retail,cost_basis,launch_date,lifecycle_stage,priority_tier,min_advertised_price,product_description
NT-EARBUD-X1,Audio,NovaTech,149.99,45.00,2024-01-15,growth,A,119.99,"Premium wireless earbuds with ANC, 8hr battery, IPX4 water resistance, touch controls"
NT-EARBUD-X1-BLK,Audio,NovaTech,149.99,45.00,2024-01-15,growth,A,119.99,Premium wireless earbuds - Midnight Black variant
NT-SPEAKER-Z2,Audio,NovaTech,89.99,28.50,2023-11-01,mature,B,71.99,"Portable Bluetooth speaker, 360Â° sound, 12hr battery life, waterproof design"
NT-CHARGER-Q3,Accessories,NovaTech,39.99,8.75,2024-03-01,introduction,C,31.99,65W GaN fast charger with dual USB-C ports and intelligent power distribution
NT-CABLE-U4,Accessories,NovaTech,24.99,3.50,2023-06-15,mature,C,19.99,"USB-C to Lightning cable, 6ft, braided design, MFi certified"
NT-WATCH-S5,Wearables,NovaTech,299.99,112.00,2024-02-20,growth,A,239.99,"Fitness smartwatch with GPS, heart rate monitor, 5ATM water resistance, 7-day battery"
NT-WATCH-S5-SPORT,Wearables,NovaTech,329.99,118.00,2024-02-20,growth,A,263.99,Fitness smartwatch - Sport Edition with additional band and premium sensors
NT-TABLET-P6,Computing,NovaTech,599.99,285.00,2024-04-10,introduction,A,479.99,"10.5 inch tablet, 128GB storage, stylus support, all-day battery life"
NT-KEYBOARD-K7,Computing,NovaTech,129.99,38.00,2023-09-20,decline,B,103.99,"Wireless mechanical keyboard, RGB backlight, hot-swappable switches"
NT-MOUSE-M8,Computing,NovaTech,79.99,22.00,2023-09-20,decline,C,63.99,"Ergonomic gaming mouse, 16000 DPI, programmable buttons, RGB lighting"
